id,lat,lng,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード
t_travospublic_measure_5m.25997517.202505201245,38.70219448,141.3930833,82,,2110368,1,20250520,1245,22,3,0,0,0,0,0,15,6,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997518.202505201245,39.05921666,141.7193842,82,,2110370,1,20250520,1245,28,0,0,0,0,0,0,26,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997519.202505201245,39.0740774,141.7034197,82,,2110371,1,20250520,1245,14,7,0,0,0,0,0,8,5,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997520.202505201245,39.1251956,141.7347157,82,,2110372,1,20250520,1245,10,4,0,0,0,0,0,12,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997521.202505201245,39.12205356,141.7899934,82,,2110373,1,20250520,1245,15,4,0,0,0,0,0,14,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997522.202505201245,39.03121933,141.6337144,82,,2110374,1,20250520,1245,9,3,0,0,0,0,0,14,2,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997523.202505201245,39.1489356,141.8295097,82,,2110379,1,20250520,1245,11,6,0,0,0,0,0,11,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997524.202505201245,39.29661288,141.8836641,82,,2110380,1,20250520,1245,23,1,0,0,0,0,0,15,4,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997525.202505201245,38.69052782,141.4270556,82,,2110381,1,20250520,1245,22,2,1,0,0,0,0,12,6,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997526.202505201245,38.70547226,141.4960833,82,,2110382,1,20250520,1245,23,7,0,0,0,0,0,19,6,1,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997527.202505201245,39.32251284,141.8802524,82,,2110383,1,20250520,1245,24,7,3,0,0,0,0,26,5,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997528.202505201245,38.81825004,141.5580556,82,,2110384,1,20250520,1245,26,12,2,0,0,0,0,16,5,1,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997529.202505201245,39.48490004,141.95454,82,,2110386,1,20250520,1245,15,4,0,0,0,0,0,23,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997530.202505201245,39.59193304,141.940478,82,,2110387,1,20250520,1245,16,3,0,0,0,0,0,22,1,2,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997531.202505201245,39.81993004,141.96138,82,,2110389,1,20250520,1245,4,2,0,0,0,0,0,3,1,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997532.202505201245,39.61091215,141.9617271,82,,2110390,1,20250520,1245,17,1,0,0,0,0,0,18,0,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997533.202505201245,39.60033162,141.9352001,82,,2110391,1,20250520,1245,16,4,0,0,0,0,0,20,3,0,0,0,0,0,3,202505201245
t_travospublic_measure_5m.25997534.202505201245,39.83627004,141.96038,82,,2110392,1,20250520,1245,6,2,0,0,0,0,0,7,5,0,0,0,0,0,3,202505201245
